City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
100,Vila Velha,BR,2021-04-05 04:48:22,-20.3297,-40.2925,73.4,94,75,9.22,broken clouds
101,Touros,BR,2021-04-05 04:50:56,-5.1989,-35.4608,77.0,88,0,6.91,clear sky
102,Saint George,US,2021-04-05 04:50:57,37.1041,-113.5841,72.0,9,1,3.44,clear sky
103,Carnarvon,AU,2021-04-05 04:50:57,-24.8667,113.6333,86.0,66,67,17.27,broken clouds
104,Norfolk,US,2021-04-05 04:48:01,42.1668,-71.2495,46.99,39,43,17.27,scattered clouds
105,Sibolga,ID,2021-04-05 04:50:57,1.7427,98.7792,85.41,65,100,3.78,overcast clouds
106,Lorengau,PG,2021-04-05 04:50:57,-2.0226,147.2712,82.89,75,87,3.65,overcast clouds
107,Taitung,TW,2021-04-05 04:50:58,22.7583,121.1444,71.6,64,75,4.61,broken clouds
108,Jamestown,US,2021-04-05 04:50:41,42.097,-79.2353,39.2,60,1,4.61,clear sky
109,Sorong,ID,2021-04-05 04:47:22,-0.8833,131.25,84.65,71,55,6.42,broken clouds
110,Labuhan,ID,2021-04-05 04:50:58,-6.8844,112.2051,86.77,65,93,6.22,light rain
111,Shetpe,KZ,2021-04-05 04:50:58,44.1667,52.1167,53.29,57,10,15.97,clear sky
112,Port-Gentil,GA,2021-04-05 04:50:59,-0.7193,8.7815,81.39,81,100,8.99,overcast clouds
113,Saskylakh,RU,2021-04-05 04:50:59,71.9167,114.0833,0.73,81,3,6.46,clear sky
114,Khatanga,RU,2021-04-05 04:50:59,71.9667,102.5,4.51,74,9,18.37,clear sky
115,Tessalit,ML,2021-04-05 04:50:59,20.1986,1.0114,77.05,7,89,9.57,overcast clouds
116,Upernavik,GL,2021-04-05 04:51:00,72.7868,-56.1549,-18.15,90,62,5.75,broken clouds
117,Ahuimanu,US,2021-04-05 04:51:00,21.4447,-157.8378,75.2,73,90,14.97,overcast clouds
118,Ilulissat,GL,2021-04-05 04:51:00,69.2167,-51.1,19.4,79,75,10.36,light snow
119,Dunedin,NZ,2021-04-05 04:51:00,-45.8742,170.5036,59.0,60,79,25.01,broken clouds
120,Asau,RO,2021-04-05 04:51:01,46.4333,26.4,35.01,60,9,3.29,light snow
121,Chokurdakh,RU,2021-04-05 04:51:01,70.6333,147.9167,-6.84,85,7,4.76,clear sky
122,Naron,ES,2021-04-05 04:51:01,43.5167,-8.1528,41.0,100,0,1.14,clear sky
123,Troitsko-Pechorsk,RU,2021-04-05 04:51:01,62.7084,56.1964,31.26,84,49,1.83,scattered clouds
124,Bethel,US,2021-04-05 04:51:02,41.3712,-73.414,51.8,37,1,6.91,clear sky
125,Rawson,AR,2021-04-05 04:51:02,-43.3002,-65.1023,72.14,45,61,5.1,broken clouds
126,Anloga,GH,2021-04-05 04:51:02,5.7947,0.8973,82.4,83,40,11.5,scattered clouds
127,Severo-Kurilsk,RU,2021-04-05 04:51:02,50.6789,156.125,30.07,77,100,11.68,overcast clouds
128,Iqaluit,CA,2021-04-05 04:47:18,63.7506,-68.5145,12.2,79,90,14.97,snow
129,Tarauaca,BR,2021-04-05 04:49:18,-8.1614,-70.7656,71.87,99,74,0.85,broken clouds
130,Hithadhoo,MV,2021-04-05 04:51:03,-0.6,73.0833,83.44,74,57,15.37,broken clouds
131,Bayir,TR,2021-04-05 04:51:03,37.2687,28.2167,62.6,63,75,9.22,broken clouds
132,Moose Factory,CA,2021-04-05 04:51:03,51.2585,-80.6094,24.8,93,1,3.44,clear sky
133,Sabang,ID,2021-04-05 04:51:03,5.8933,95.3214,83.1,71,99,12.21,overcast clouds
134,Constitucion,CL,2021-04-05 04:51:04,-35.3333,-72.4167,56.55,88,98,7.36,overcast clouds
135,Sola,VU,2021-04-05 04:51:04,-13.8833,167.55,80.51,77,97,11.9,overcast clouds
136,East London,ZA,2021-04-05 04:51:04,-33.0153,27.9116,62.6,82,0,6.91,clear sky
137,Tabou,CI,2021-04-05 04:51:04,4.423,-7.3528,78.75,87,58,6.8,broken clouds
138,Chapada Dos Guimaraes,BR,2021-04-05 04:51:05,-15.4606,-55.7497,73.4,94,75,1.14,broken clouds
139,Kapaa,US,2021-04-05 04:51:05,22.0752,-159.319,75.2,60,90,18.41,overcast clouds
140,Tabas,IR,2021-04-05 04:51:05,33.5959,56.9244,65.75,16,0,2.01,clear sky
141,Tres Passos,BR,2021-04-05 04:51:05,-27.4556,-53.9319,66.04,69,80,5.41,broken clouds
142,San Rafael,AR,2021-04-05 04:51:06,-34.6177,-68.3301,69.21,63,77,7.27,broken clouds
143,Doctor Cecilio Baez,PY,2021-04-05 04:51:06,-25.05,-56.3167,68.25,92,100,3.89,overcast clouds
144,Sakhon Nakhon,TH,2021-04-05 04:51:06,17.1612,104.1472,84.2,58,0,12.66,clear sky
145,Mar Del Plata,AR,2021-04-05 04:51:07,-38.0023,-57.5575,66.99,100,90,7.09,overcast clouds
146,Staraya Mayna,RU,2021-04-05 04:51:07,54.6,48.95,33.8,80,78,4.47,broken clouds
147,Mahebourg,MU,2021-04-05 04:51:07,-20.4081,57.7,82.4,74,40,14.97,scattered clouds
148,Beloha,MG,2021-04-05 04:51:07,-25.1667,45.05,71.8,69,1,10.71,clear sky
149,Kamalpur,IN,2021-04-05 04:51:08,24.2,91.8333,84.2,45,9,4.47,haze
